TIPO_ARCHIVO|ARCHIVO|NUMERO_PASO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Bteq|01_edw_Emi_Tc.sql|1|DROP|BD_TEMP|SEG_CMP_FEC_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|2|CREATE TABLE|BD_TEMP|SEG_CMP_FEC_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|3|INSERT|BD_TEMP|SEG_CMP_FEC_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|4|DROP|BD_TEMP|SEG_CMP_CAS_TB_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|5|CREATE TABLE|BD_TEMP|SEG_CMP_CAS_TB_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|6|INSERT|BD_TEMP|SEG_CMP_CAS_TB_EMITC|BD_VD|TB_EMISIONES_TC
Bteq|01_edw_Emi_Tc.sql|6|INSERT|BD_TEMP|SEG_CMP_CAS_TB_EMITC|BD_TEMP|SEG_CMP_FEC_EMITC
Bteq|01_edw_Emi_Tc.sql|7|DROP|BD_TEMP|SEG_CMP_FEC_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|8|DROP|BD_TEMP|SEG_CMP_TB_EMITC_CANT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|9|CREATE TABLE|BD_TEMP|SEG_CMP_TB_EMITC_CANT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|10|INSERT|BD_TEMP|SEG_CMP_TB_EMITC_CANT|BD_SEG|SEG_CMP_TB_EMITC
Bteq|01_edw_Emi_Tc.sql|11|DELETE|BD_SEG|SEG_CMP_TB_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|12|INSERT|BD_SEG|SEG_CMP_TB_EMITC|BD_TEMP|SEG_CMP_CAS_TB_EMITC
Bteq|01_edw_Emi_Tc.sql|13|DROP|BD_TEMP|SEG_CMP_CAS_TB_EMITC|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|14|DROP|BD_TEMP|CMP_CAMPANAS_PASO|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|15|CREATE TABLE|BD_TEMP|CMP_CAMPANAS_PASO|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|16|INSERT|BD_TEMP|CMP_CAMPANAS_PASO|BD_SEG|CMP_CAMPANAS
Bteq|01_edw_Emi_Tc.sql|17|DROP|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|18|CREATE TABLE|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|19|INSERT|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|BD_TEMP|CMP_CAMPANAS_PASO
Bteq|01_edw_Emi_Tc.sql|19|INSERT|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|BD_SEG|CMP_NOMINAS
Bteq|01_edw_Emi_Tc.sql|20|DROP|BD_TEMP|CMP_CAMPANAS_PASO|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|21|DROP|BD_TEMP|SEG_CMP_EMI_RUT_CMP_ANT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|22|CREATE TABLE|BD_TEMP|SEG_CMP_EMI_RUT_CMP_ANT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|23|INSERT|BD_TEMP|SEG_CMP_EMI_RUT_CMP_ANT|BD_SEG|SEG_CMP_EMI_RUT_CMP
Bteq|01_edw_Emi_Tc.sql|24|DELETE|BD_SEG|SEG_CMP_EMI_RUT_CMP|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|01_edw_Emi_Tc.sql|25|INSERT|BD_SEG|SEG_CMP_EMI_RUT_CMP|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT
Bteq|01_edw_Emi_Tc.sql|26|DROP|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|1|DROP|BD_TEMP|SEG_CMP_FEC_TEL|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|2|CREATE TABLE|BD_TEMP|SEG_CMP_FEC_TEL|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|3|INSERT|BD_TEMP|SEG_CMP_FEC_TEL|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|4|DROP|BD_TEMP|SEG_CMP_GES_EVT_CMP|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|5|CREATE TABLE|BD_TEMP|SEG_CMP_GES_EVT_CMP|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
Bteq|02_Edw_Ges_Cnl_Tel.sql|6|INSERT|BD_TEMP|SEG_CMP_GES_EVT_CMP|BD_VW_EC|BCI_CALL_HISTORY
