TIPO_ARCHIVO|ARCHIVO|TIPO_DE_TABLA|ESQUEMA|TABLA|index
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|CMP_CAMPANAS_PASO|
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|SEG_CMP_CAS_TB_EMITC|
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|SEG_CMP_EMI_RUT_CMP_ANT|
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_EMITC|
Bteq|01_edw_Emi_Tc.sql|PROCESO|BD_TEMP|SEG_CMP_TB_EMITC_CANT|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_SEG|CMP_CAMPANAS|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_TEMP|CMP_CAMPANAS_PASO|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_SEG|CMP_NOMINAS|
Bteq|01_edw_Emi_Tc.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_TEMP|SEG_CMP_CAS_EMI_PRORUT|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_TEMP|SEG_CMP_CAS_TB_EMITC|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_SEG|SEG_CMP_EMI_RUT_CMP|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_TEMP|SEG_CMP_FEC_EMITC|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_SEG|SEG_CMP_TB_EMITC|
Bteq|01_edw_Emi_Tc.sql|INPUT|BD_VD|TB_EMISIONES_TC|
Bteq|01_edw_Emi_Tc.sql|OUTPUT|BD_SEG|SEG_CMP_EMI_RUT_CMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_TEL|
Bteq|02_Edw_Ges_Cnl_Tel.sql|PROCESO|BD_TEMP|SEG_CMP_GES_CLI_TLM|
Bteq|02_Edw_Ges_Cnl_Tel.sql|PROCESO|BD_TEMP|SEG_CMP_GES_EVT_CMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|PROCESO|BD_TEMP|SEG_CMP_GES_TEL_MKTG2|
Bteq|02_Edw_Ges_Cnl_Tel.sql|PROCESO|BD_TEMP|SEG_CMP_GES_TEL_MKTG2_PREV|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_VW_EC|BCI_CALL_HISTORY|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_VW_CP|BCI_GLOSAS_TELECANAL|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_SEG|CMP_CAMPANAS|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_SEG|CMP_CODIGOCMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_SEG|CMP_NOMINAS|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|EDW_TEMP|SEG_CMP_FEC_TEL|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_TEMP|SEG_CMP_GES_EVT_CMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_TEMP|SEG_CMP_GES_TEL_MKTG2_PREV|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_VW_EC|TBL_EVENT_CMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|INPUT|BD_VW_EC|TBL_EVENT_PARTY_CMP|
Bteq|02_Edw_Ges_Cnl_Tel.sql|OUTPUT|BD_TEMP|SEG_CMP_GES_TEL_MKTG2|
Bteq|03_Edw_Ges_Cnl_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_BCI_CMP_U100D|
Bteq|03_Edw_Ges_Cnl_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_CAS_GES_EVER|
Bteq|03_Edw_Ges_Cnl_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_EVE|
Bteq|03_Edw_Ges_Cnl_Eve.sql|INPUT|BD_VW_PO|BCI_CAMPANAS|
Bteq|03_Edw_Ges_Cnl_Eve.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|03_Edw_Ges_Cnl_Eve.sql|INPUT|BD_TEMP|SEG_CMP_BCI_CMP_U100D|
Bteq|03_Edw_Ges_Cnl_Eve.sql|INPUT|BD_TEMP|SEG_CMP_CAS_GES_EVER|
Bteq|03_Edw_Ges_Cnl_Eve.sql|INPUT|BD_TEMP|SEG_CMP_FEC_EVE|
Bteq|03_Edw_Ges_Cnl_Eve.sql|OUTPUT|BD_SEG|SEG_CMP_EDW_BCI_CMP|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_CAS_COD_EVE_TOD|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_CAS_GES_EVE_PAS|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|PROCESO|BD_TEMP|SEG_CMP_GES_EVE|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|CMP_CAMPANAS|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|CMP_CODIGOCMP|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|CMP_CODIGOCMPREENVIO|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|CMP_NOMINAS|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_TEMP|SEG_CMP_CAS_COD_EVE_TOD|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_TEMP|SEG_CMP_CAS_GES_EVE_PAS|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|SEG_CMP_COD_GES|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|INPUT|BD_SEG|SEG_CMP_EDW_BCI_CMP|
Bteq|04_Edw_Cmp_Gnr_Eve.sql|OUTPUT|BD_TEMP|SEG_CMP_GES_EVE|
Bteq|05_Edw_In_Dap.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_INV_DAP|
Bteq|05_Edw_In_Dap.sql|PROCESO|BD_TEMP|SEG_CMP_IN_EVENT_DAP|
Bteq|05_Edw_In_Dap.sql|INPUT|BD_VW_AG|ACCOUNT_PARTY|
Bteq|05_Edw_In_Dap.sql|INPUT|BD_VW_AG|AGREEMENT|
Bteq|05_Edw_In_Dap.sql|INPUT|BD_VW_AG|BCI_DAP_BALANCE|
Bteq|05_Edw_In_Dap.sql|INPUT|BD_VW_PT|EXTERNAL_IDENTIFICATION_HIST|
Bteq|05_Edw_In_Dap.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|05_Edw_In_Dap.sql|INPUT|BD_TEMP|SEG_CMP_FEC_INV_DAP|
Bteq|05_Edw_In_Dap.sql|OUTPUT|BD_TEMP|SEG_CMP_IN_EVENT_DAP|
Bteq|05_Edw_In_Fmu.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_INV_FMU|
Bteq|05_Edw_In_Fmu.sql|PROCESO|BD_TEMP|SEG_CMP_IN_EVENT_FMU|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_AG|ACCOUNT_PARTY|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_AG|AGREEMENT|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_EF|BCI_EVENT_FFMM|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_FI|CURRENCY_TRANSLATION_RATE_HIST|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_PT|EXTERNAL_IDENTIFICATION_HIST|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_VW_PR|PRODUCT|
Bteq|05_Edw_In_Fmu.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|05_Edw_In_Fmu.sql|INPUT|BD_TEMP|SEG_CMP_FEC_INV_FMU|
Bteq|05_Edw_In_Fmu.sql|OUTPUT|BD_TEMP|SEG_CMP_IN_EVENT_FMU|
Bteq|05_Edw_In_Vta_Cct.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_VTA_CCT|
Bteq|05_Edw_In_Vta_Cct.sql|PROCESO|BD_TEMP|SEG_CMP_IN_CCT|
Bteq|05_Edw_In_Vta_Cct.sql|PROCESO|BD_TEMP|SEG_CMP_IN_VTA_CCT|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_VW_PO|DBCI_EVENTO_COMERCIAL|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_VW_PT|EXTERNAL_IDENTIFICATION_HIST|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_VW_CP|MARKET_SEGMENT|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_SEG|MB_GRP_CANAL|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_VW_CP|PARTY_SEGMENT|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_TEMP|SEG_CMP_FEC_VTA_CCT|
Bteq|05_Edw_In_Vta_Cct.sql|INPUT|BD_TEMP|SEG_CMP_IN_CCT|
Bteq|05_Edw_In_Vta_Cct.sql|OUTPUT|BD_TEMP|SEG_CMP_IN_VTA_CCT|
Bteq|05_Edw_In_Vta_Cct_Act.sql|PROCESO|BD_TEMP|SEG_CMP_FEC_VTA_CCT_ACT|
Bteq|05_Edw_In_Vta_Cct_Act.sql|PROCESO|BD_TEMP|SEG_CMP_IN_CCT_ACT|
Bteq|05_Edw_In_Vta_Cct_Act.sql|PROCESO|BD_TEMP|SEG_CMP_IN_CNL_OPE2_ACT|
Bteq|05_Edw_In_Vta_Cct_Act.sql|PROCESO|BD_TEMP|SEG_CMP_IN_CNL_OPE_ACT|
