TIPO_ARCHIVO|ARCHIVO|NUMERO_PASO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
StoredProcedures|SQLAExport_Sp.txt|1|DROP|ARMCORE|AR_AA_MODEL_TRAINING|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|2|DROP|ARMCORE|AR_AA_TRAINING_SCORE|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|3|DROP|ARMCORE|AR_AA_TRAINING_VARIABLE|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|4|DROP|ARMCORE|AR_AA_VARIABLE_CATEGORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|5|DROP|ARMCORE|AR_ANALYSIS_RESULT_SUBMIT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|6|DROP|ARMCORE|AR_ANALYSIS_RESULT_SUMMARY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|7|DROP|ARMCORE|AR_BTA_RUN_RESULT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|8|DROP|ARMCORE|AR_CHANNEL_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|9|DROP|ARMCORE|AR_CHANNEL_RESPONSE|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|10|DROP|ARMCORE|AR_COLLATERAL_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|11|DROP|ARMCORE|AR_COMMUNICATION_SUMMARY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|12|DROP|ARMCORE|AR_CONTACT_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|13|DROP|ARMCORE|AR_CSA_RUN_RESULT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|14|DROP|ARMCORE|AR_CSA_RUN_RESULT_COUNT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|15|DROP|ARMCORE|AR_CSA_RUN_RESULT_TOTAL|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|16|DROP|ARMCORE|AR_DELIVERY_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|17|DROP|ARMCORE|AR_INBOUND_COLLECTOR_REJECT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|18|DROP|ARMCORE|AR_JOB|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|19|DROP|ARMCORE|AR_JOB_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|20|DROP|ARMCORE|AR_LEAD_EVENT_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|21|DROP|ARMCORE|AR_LEAD_KEY_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|22|DROP|ARMCORE|AR_LEAD_STATUS_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|23|DROP|ARMCORE|AR_LOGICAL_SEGMENT_RUN|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|24|DROP|ARMCORE|AR_MASTER_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|25|DROP|ARMCORE|AR_PP_RUN_RESULT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|26|DROP|ARMCORE|AR_REALIZED_LEAD|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|27|DROP|ARMCORE|AR_RESPONSE_REQUEST|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|28|DROP|ARMCORE|AR_RULE_PARAMETER_VALUE|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|29|DROP|ARMCORE|AR_RULE_QUERY_RUN_RESULT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|30|DROP|ARMCORE|AR_RUN|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|31|DROP|ARMCORE|AR_RUN_COUNT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|32|DROP|ARMCORE|AR_RUN_COUNT_INSIGHT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|33|DROP|ARMCORE|AR_RUN_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|34|DROP|ARMCORE|AR_SA_RUN_HISTORY|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|35|DROP|ARMCORE|AR_SCHEMA_RUN_COUNT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|36|DROP|ARMCORE|AR_SCHEMA_RUN_COUNT_INSIGHT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|37|DROP|ARMCORE|AR_SEGMENT_DATA|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|38|DROP|ARMCORE|AR_SEGMENT_HEADER|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|39|DROP|ARMCORE|AR_SEGMENT_LEAF|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|40|DROP|ARMCORE|AR_SEGMENT_PLAN_RUN|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|41|DROP|ARMCORE|AR_SEGMENT_PLAN_STORE_LIMIT|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
StoredProcedures|SQLAExport_Sp.txt|42|DROP|ARMCORE|AR_SEGMENT_PLAN_TABLE_TRACKER|Parámetros: No tiene condición de tabla input|Parámetros: No tiene condición de tabla input
