TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport.txt|REPLACE VIEW|ARMVIEWS|RMA_EPI_OPORTUNIDAD_A|BCIMKT|IN_EPI_Oportunidad
Vistas|SQLAExport10.txt|REPLACE VIEW|ARMVIEWS|RMS_MATRIZ_RIESGO_WEB_A|ARMINP|RME_MARCA_RIESGO
Vistas|SQLAExport10.txt|REPLACE VIEW|ARMVIEWS|RMS_MATRIZ_RIESGO_WEB_A|ARMINP|RME_MATRIZ_RIESGO_V2R0
Vistas|SQLAExport10.txt|REPLACE VIEW|ARMVIEWS|RMS_MATRIZ_RIESGO_WEB_A|ARMINP|RMC_TASA_CON_SOCIOS
Vistas|SQLAExport100.txt|REPLACE VIEW|ARMVIEWS|REP_REV_EVEREST|ARMVIEWS|FT_NOMINAS_CON_SUC_OUT
Vistas|SQLAExport100.txt|REPLACE VIEW|ARMVIEWS|REP_REV_EVEREST|ARMVIEWS|FT_TABLON_CAMPANA_CONSUMO
Vistas|SQLAExport1000.txt|REPLACE VIEW|ARMVIEWS|RCI_AGENDA_HORA_INICIO_CAMP|ARMWORK|RCI_COMM_SCHEDULER
Vistas|SQLAExport1001.txt|REPLACE VIEW|ARMVIEWS|RMU_EJEC_COMER_PYME_A|ARMINP|RME_COMER_PYME_EJE_A
Vistas|SQLAExport1001.txt|REPLACE VIEW|ARMVIEWS|RMU_EJEC_COMER_PYME_A|ARMVIEWS|RMU_EJEC_CTA_EST_FULL_PYME_A
Vistas|SQLAExport1002.txt|REPLACE VIEW|ARMVIEWS|RMU_PLN_MAIL_A|BCIMKT|IN_MAILS
Vistas|SQLAExport1002.txt|REPLACE VIEW|ARMVIEWS|RMU_PLN_MAIL_A|BCIMKT|CM_EXCLUSIONEMAIL_PLN
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|DBC|TABLESIZE
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|armcore|OM_PRESENTATION_TEMPLATE
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|ARMCORE|CM_COMM_PACKAGE_PRESENTATION
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|ARMCORE|CM_COMMUNICATION
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|ARMCORE|CR_FOLDER_ENTRY
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|ARMCORE|CR_FOLDER
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|ARMCORE|OM_PRESENTATION_TEMPLATE_SORT
Vistas|SQLAExport1003.txt|CREATE VIEW|ARMVIEWS|V_EJECUCION_CAMPAIGN|dbc|DBQLObjTbl
Vistas|SQLAExport1004.txt|REPLACE VIEW|ARMVIEWS|RMA_INDICADORES_LSG_A|ARMVIEWS|RMU_CTACTE_LINEAS_A
Vistas|SQLAExport1005.txt|REPLACE VIEW|ARMVIEWS|RMU_FACT_PYME_OUT_M_20180523|ARMINP|RME_FACT_PYME_OUT
Vistas|SQLAExport1006.txt|REPLACE VIEW|ARMVIEWS|D_RMS_TCR_CUOTIZA_INT_OUT_WEB_A|ARMVIEWS|D_RMA_TCR_CUOTIZA_INT_INPUT_A
Vistas|SQLAExport1006.txt|REPLACE VIEW|ARMVIEWS|D_RMS_TCR_CUOTIZA_INT_OUT_WEB_A|ARMVIEWS|RMJ_CLT_PARTY
Vistas|SQLAExport1007.txt|REPLACE VIEW|ARMVIEWS|RMU_PRIORIDAD_EJEC_OPER|ARMCUST|RME_CONTROL_PLANTA_OPERACIONES
Vistas|SQLAExport1008.txt|CREATE VIEW|ARMVIEWS|RMU_PREPASO_MARCA_COMEX_A|ARMOUT|RMC_PREPASO_MARCA_COMEX
Vistas|SQLAExport1009.txt|REPLACE VIEW|ARMVIEWS|RMU_DM_TCR_CTA_NOVA_A|EDW_DMTARJETA_VW|TDC_MAE_CTA_DIA_NOVA
Vistas|SQLAExport101.txt|REPLACE VIEW|ARMVIEWS|RMS_AUM_CUPO_TCR_MMKT_A_170603|ARMVIEWS|RMJ_CLT_PARTY
Vistas|SQLAExport101.txt|REPLACE VIEW|ARMVIEWS|RMS_AUM_CUPO_TCR_MMKT_A_170603|ARMVIEWS|RMA_CLT_RUT_A
Vistas|SQLAExport101.txt|REPLACE VIEW|ARMVIEWS|RMS_AUM_CUPO_TCR_MMKT_A_170603|ARMVIEWS|RMU_CLT_NOMBRES_A
Vistas|SQLAExport101.txt|REPLACE VIEW|ARMVIEWS|RMS_AUM_CUPO_TCR_MMKT_A_170603|ARMVIEWS|RMA_TABLON_ATC_OFTA_INT_A
Vistas|SQLAExport1010.txt|REPLACE VIEW|ARMVIEWS|RMU_TELEFONOS_ONB_PYME_A|ARMVIEWS|RMU_TELEFONOS_A
Vistas|SQLAExport1011.txt|REPLACE VIEW|ARMVIEWS|RMA_SGA_TELE_TEMPLATE|ARMVIEWS|RMA_CLT_RUT_AUTO_A
